Sr. No.,Value date,Transaction Date,Cheque Number,Transacting Remarks,Withdrawal Amount,Deposit Amount,Balance
1,2019-12-31,2020-01-01,100000,Cheque Issued,2949.39,0.00,7050.61
2,2020-01-01,2020-01-01,,Investment - Stocks,3190.59,0.00,3860.02
3,2019-12-31,2020-01-01,,Salary Credit,0.00,4224.35,8084.37
4,2020-01-01,2020-01-01,,Transfer Received,0.00,2512.07,10596.44
5,2019-12-31,2020-01-01,,Daily Essentials,7.49,0.00,10588.95
6,2020-01-01,2020-01-01,,Transfer Received,0.00,1865.13,12454.08
7,2019-12-31,2020-01-01,,Online Transfer,1227.55,0.00,11226.53
8,2019-12-31,2020-01-01,,Transfer Received,0.00,625.27,11851.80
9,2020-01-02,2020-01-01,,Groceries - Online Delivery,130.03,0.00,11721.77
10,2020-01-01,2020-01-01,,Dining Out,63.49,0.00,11658.28
11,2020-01-02,2020-01-02,,Transfer Received,0.00,1293.68,12951.96
12,2020-01-02,2020-01-02,,Online Transfer,1629.42,0.00,11322.54
13,2020-01-01,2020-01-02,,ATM Withdrawal,320.86,0.00,11001.68
14,2020-01-02,2020-01-02,,Transfer Received,0.00,2009.53,13011.21
15,2020-01-02,2020-01-02,,Groceries - Supermarket,118.66,0.00,12892.55
16,2020-01-03,2020-01-03,,Credit Card Payment,932.07,0.00,11960.48
17,2020-01-03,2020-01-03,,Dining Out,75.69,0.00,11884.79
18,2020-01-04,2020-01-03,,Transfer Received,0.00,1661.27,13546.06
19,2020-01-03,2020-01-03,,Salary Credit,0.00,2863.88,16409.94
20,2020-01-03,2020-01-03,,Online Transfer,259.63,0.00,16150.31
21,2020-01-04,2020-01-04,,ATM Withdrawal,237.10,0.00,15913.21
22,2020-01-05,2020-01-04,,Loan EMI,1502.88,0.00,14410.33
23,2020-01-04,2020-01-04,,Cash Deposit,0.00,987.26,15397.59
24,2020-01-04,2020-01-04,,Credit Card Payment,218.75,0.00,15178.84
25,2020-01-05,2020-01-05,,Salary Credit,0.00,4806.14,19984.98
26,2020-01-05,2020-01-05,,Dining Out,26.99,0.00,19957.99
27,2020-01-05,2020-01-05,,Credit Card Payment,971.92,0.00,18986.07
28,2020-01-05,2020-01-05,,Interest Credited,0.00,76.95,19063.02
29,2020-01-05,2020-01-05,,Loan EMI,1984.04,0.00,17078.98
30,2020-01-06,2020-01-05,,Groceries - Online Delivery,71.18,0.00,17007.80
31,2020-01-05,2020-01-05,,Online Transfer,188.19,0.00,16819.61
32,2020-01-04,2020-01-05,,Groceries - Supermarket,92.06,0.00,16727.55
33,2020-01-05,2020-01-05,,Interest Credited,0.00,74.80,16802.35
34,2020-01-06,2020-01-06,,Online Transfer,146.61,0.00,16655.74
35,2020-01-06,2020-01-06,,Daily Essentials,33.24,0.00,16622.50
36,2020-01-07,2020-01-06,,Dining Out,22.04,0.00,16600.46
37,2020-01-06,2020-01-06,,Investment Returns,0.00,406.98,17007.44
38,2020-01-06,2020-01-06,,Salary Credit,0.00,3180.52,20187.96
39,2020-01-07,2020-01-07,,Online Transfer,1600.63,0.00,18587.33
40,2020-01-07,2020-01-07,,Credit Card Payment,675.59,0.00,17911.74
41,2020-01-08,2020-01-07,,Investment Returns,0.00,901.90,18813.64
42,2020-01-07,2020-01-07,,Investment - SIP,725.66,0.00,18087.98
43,2020-01-08,2020-01-07,,ATM Withdrawal,114.35,0.00,17973.63
44,2020-01-07,2020-01-07,,Groceries - Supermarket,164.92,0.00,17808.71
45,2020-01-07,2020-01-07,,Salary Credit,0.00,4261.50,22070.21
46,2020-01-08,2020-01-08,,Salary Credit,0.00,4257.53,26327.74
47,2020-01-09,2020-01-08,,Takeout,27.93,0.00,26299.81
48,2020-01-08,2020-01-08,,Transfer Received,0.00,958.44,27258.25
49,2020-01-08,2020-01-08,,Salary Credit,0.00,4873.08,32131.33
50,2020-01-07,2020-01-08,,Dining Out,39.20,0.00,32092.13
51,2020-01-08,2020-01-08,,Groceries - Supermarket,184.37,0.00,31907.76
52,2020-01-08,2020-01-09,,Loan EMI,1013.51,0.00,30894.25
53,2020-01-09,2020-01-09,,Credit Card Payment,782.72,0.00,30111.53
54,2020-01-10,2020-01-09,,Utility Payment,296.38,0.00,29815.15
55,2020-01-09,2020-01-09,,Groceries - Supermarket,57.31,0.00,29757.84
56,2020-01-10,2020-01-09,,Transfer Received,0.00,2406.60,32164.44
57,2020-01-09,2020-01-09,,Loan EMI,799.66,0.00,31364.78
58,2020-01-09,2020-01-09,,Utility Payment,141.63,0.00,31223.15
59,2020-01-10,2020-01-09,,ATM Withdrawal,427.66,0.00,30795.49
60,2020-01-10,2020-01-09,,Transfer Received,0.00,670.28,31465.77
61,2020-01-09,2020-01-09,,Salary Credit,0.00,2736.35,34202.12
62,2020-01-09,2020-01-09,,Rental Income,0.00,1925.83,36127.95
63,2020-01-10,2020-01-09,,Credit Card Payment,750.67,0.00,35377.28
64,2020-01-11,2020-01-10,,Credit Card Payment,971.63,0.00,34405.65
65,2020-01-11,2020-01-10,,ATM Withdrawal,434.23,0.00,33971.42
66,2020-01-10,2020-01-10,,Investment Returns,0.00,143.68,34115.10
67,2020-01-11,2020-01-11,,Rental Income,0.00,2501.94,36617.04
68,2020-01-11,2020-01-11,,Salary Credit,0.00,3432.92,40049.96
69,2020-01-11,2020-01-11,,Investment Returns,0.00,185.43,40235.39
70,2020-01-11,2020-01-11,,Transfer Received,0.00,736.34,40971.73
71,2020-01-13,2020-01-12,100001,Cheque Issued,1161.84,0.00,39809.89
72,2020-01-12,2020-01-12,,Credit Card Payment,439.64,0.00,39370.25
73,2020-01-12,2020-01-12,,Investment - Stocks,726.18,0.00,38644.07
74,2020-01-13,2020-01-13,,Dividend Received,0.00,66.90,38710.97
75,2020-01-13,2020-01-13,,Utility Payment,295.49,0.00,38415.48
76,2020-01-13,2020-01-13,,Transfer Received,0.00,1743.54,40159.02
77,2020-01-12,2020-01-13,,ATM Withdrawal,27.67,0.00,40131.35
78,2020-01-13,2020-01-13,,Utility Payment,112.00,0.00,40019.35
79,2020-01-14,2020-01-13,,Utility Payment,209.67,0.00,39809.68
80,2020-01-14,2020-01-14,,Credit Card Payment,444.60,0.00,39365.08
81,2020-01-13,2020-01-14,,Daily Essentials,49.46,0.00,39315.62
82,2020-01-14,2020-01-14,,Investment - Stocks,4478.64,0.00,34836.98
83,2020-01-15,2020-01-15,,ATM Withdrawal,413.10,0.00,34423.88
84,2020-01-15,2020-01-15,,Loan EMI,1606.32,0.00,32817.56
85,2020-01-15,2020-01-15,,Groceries - Supermarket,124.87,0.00,32692.69
86,2020-01-15,2020-01-15,,Online Transfer,1719.60,0.00,30973.09
87,2020-01-14,2020-01-15,,Investment - Stocks,740.39,0.00,30232.70
88,2020-01-15,2020-01-15,,Utility Payment,220.47,0.00,30012.23
89,2020-01-16,2020-01-16,,ATM Withdrawal,235.64,0.00,29776.59
90,2020-01-16,2020-01-16,,Transfer Received,0.00,2724.64,32501.23
91,2020-01-15,2020-01-16,,Utility Payment,161.59,0.00,32339.64
92,2020-01-16,2020-01-16,,Salary Credit,0.00,4111.61,36451.25
93,2020-01-16,2020-01-16,,Investment - Mutual Funds,2075.76,0.00,34375.49
94,2020-01-17,2020-01-16,,Coffee Shop,6.11,0.00,34369.38
95,2020-01-17,2020-01-17,,Investment Returns,0.00,196.45,34565.83
96,2020-01-17,2020-01-17,,Takeout,34.33,0.00,34531.50
97,2020-01-17,2020-01-17,,Cash Deposit,0.00,151.13,34682.63
98,2020-01-17,2020-01-17,,Credit Card Payment,889.43,0.00,33793.20
99,2020-01-17,2020-01-17,,Utility Payment,70.19,0.00,33723.01
100,2020-01-17,2020-01-17,,Groceries - Supermarket,115.76,0.00,33607.25
101,2020-01-18,2020-01-17,,Credit Card Payment,816.04,0.00,32791.21
102,2020-01-18,2020-01-17,,Groceries - Supermarket,195.66,0.00,32595.55
103,2020-01-19,2020-01-18,,Credit Card Payment,521.67,0.00,32073.88
104,2020-01-18,2020-01-18,,ATM Withdrawal,400.39,0.00,31673.49
105,2020-01-18,2020-01-18,,ATM Withdrawal,158.08,0.00,31515.41
106,2020-01-18,2020-01-18,,Transfer Received,0.00,1824.65,33340.06
107,2020-01-18,2020-01-18,,Investment Returns,0.00,552.29,33892.35
108,2020-01-18,2020-01-18,,Transfer Received,0.00,1796.72,35689.07
109,2020-01-19,2020-01-19,,Utility Payment,262.42,0.00,35426.65
110,2020-01-20,2020-01-19,,Credit Card Payment,780.38,0.00,34646.27
111,2020-01-18,2020-01-19,,Transfer Received,0.00,1797.49,36443.76
112,2020-01-19,2020-01-19,,Coffee Shop,10.80,0.00,36432.96
113,2020-01-19,2020-01-19,,Credit Card Payment,657.47,0.00,35775.49
114,2020-01-20,2020-01-19,,Rental Income,0.00,2858.84,38634.33
115,2020-01-20,2020-01-19,,Groceries - Online Delivery,123.27,0.00,38511.06
116,2020-01-19,2020-01-19,,Online Transfer,1075.65,0.00,37435.41
117,2020-01-19,2020-01-19,,ATM Withdrawal,381.34,0.00,37054.07
118,2020-01-19,2020-01-19,,Online Transfer,1192.69,0.00,35861.38
119,2020-01-19,2020-01-20,,Loan EMI,733.92,0.00,35127.46
120,2020-01-19,2020-01-20,,ATM Withdrawal,348.37,0.00,34779.09
121,2020-01-19,2020-01-20,,Cash Deposit,0.00,900.84,35679.93
122,2020-01-20,2020-01-20,,Daily Essentials,15.93,0.00,35664.00
123,2020-01-20,2020-01-20,,Credit Card Payment,596.19,0.00,35067.81
124,2020-01-20,2020-01-20,,Salary Credit,0.00,3530.49,38598.30
125,2020-01-20,2020-01-20,,Groceries - Supermarket,123.89,0.00,38474.41
126,2020-01-21,2020-01-20,,Cash Deposit,0.00,764.08,39238.49
127,2020-01-21,2020-01-21,,Salary Credit,0.00,2798.68,42037.17
128,2020-01-21,2020-01-21,,ATM Withdrawal,120.71,0.00,41916.46
129,2020-01-21,2020-01-21,,Salary Credit,0.00,2640.43,44556.89
130,2020-01-21,2020-01-21,,Online Transfer,584.37,0.00,43972.52
131,2020-01-21,2020-01-21,,Credit Card Payment,287.97,0.00,43684.55
132,2020-01-22,2020-01-22,,Transfer Received,0.00,1332.44,45016.99
133,2020-01-23,2020-01-22,,ATM Withdrawal,351.06,0.00,44665.93
134,2020-01-21,2020-01-22,,Dining Out,54.55,0.00,44611.38
135,2020-01-23,2020-01-22,,ATM Withdrawal,319.96,0.00,44291.42
136,2020-01-23,2020-01-22,,Transfer Received,0.00,2433.86,46725.28
137,2020-01-22,2020-01-22,,Transfer Received,0.00,2764.58,49489.86
138,2020-01-23,2020-01-23,,ATM Withdrawal,391.77,0.00,49098.09
139,2020-01-24,2020-01-23,,Dividend Received,0.00,438.52,49536.61
140,2020-01-23,2020-01-23,,Dining Out,11.70,0.00,49524.91
141,2020-01-23,2020-01-23,,Transfer Received,0.00,2576.68,52101.59
142,2020-01-23,2020-01-23,,Credit Card Payment,749.64,0.00,51351.95
143,2020-01-22,2020-01-23,,Online Transfer,1603.50,0.00,49748.45
144,2020-01-23,2020-01-23,,Salary Credit,0.00,2983.36,52731.81
145,2020-01-23,2020-01-23,,Credit Card Payment,332.82,0.00,52398.99
146,2020-01-25,2020-01-24,,Interest Credited,0.00,23.43,52422.42
147,2020-01-25,2020-01-24,,ATM Withdrawal,256.90,0.00,52165.52
148,2020-01-23,2020-01-24,,Interest Credited,0.00,99.66,52265.18
149,2020-01-24,2020-01-24,,Utility Payment,154.35,0.00,52110.83
150,2020-01-25,2020-01-25,,Groceries - Online Delivery,106.52,0.00,52004.31
151,2020-01-25,2020-01-25,,Salary Credit,0.00,2059.88,54064.19
152,2020-01-25,2020-01-25,,Transfer Received,0.00,1409.00,55473.19
153,2020-01-26,2020-01-25,,ATM Withdrawal,246.63,0.00,55226.56
154,2020-01-25,2020-01-25,,Transfer Received,0.00,1276.92,56503.48
155,2020-01-25,2020-01-25,,Transfer Received,0.00,2817.35,59320.83
156,2020-01-25,2020-01-25,,ATM Withdrawal,494.90,0.00,58825.93
157,2020-01-27,2020-01-26,,Salary Credit,0.00,4508.56,63334.49
158,2020-01-26,2020-01-26,,Credit Card Payment,649.59,0.00,62684.90
159,2020-01-26,2020-01-26,,Online Transfer,236.37,0.00,62448.53
160,2020-01-26,2020-01-26,,Groceries - Supermarket,108.39,0.00,62340.14
161,2020-01-26,2020-01-26,,Salary Credit,0.00,2183.49,64523.63
162,2020-01-27,2020-01-26,,Dividend Received,0.00,379.00,64902.63
163,2020-01-25,2020-01-26,100002,Cheque Issued,2326.49,0.00,62576.14
164,2020-01-26,2020-01-26,,Groceries - Supermarket,72.20,0.00,62503.94
165,2020-01-26,2020-01-26,,Salary Credit,0.00,2576.48,65080.42
166,2020-01-26,2020-01-26,,Salary Credit,0.00,4029.06,69109.48
167,2020-01-26,2020-01-26,,Online Transfer,1993.79,0.00,67115.69
168,2020-01-26,2020-01-26,100003,Cheque Issued,2473.49,0.00,64642.20
169,2020-01-27,2020-01-26,,Investment - SIP,950.43,0.00,63691.77
170,2020-01-26,2020-01-26,,Transfer Received,0.00,2667.54,66359.31
171,2020-01-27,2020-01-26,,Online Transfer,1064.83,0.00,65294.48
172,2020-01-26,2020-01-26,,Dining Out,36.62,0.00,65257.86
173,2020-01-27,2020-01-26,,Interest Credited,0.00,12.41,65270.27
174,2020-01-26,2020-01-26,,Investment - SIP,276.88,0.00,64993.39
175,2020-01-27,2020-01-27,,Online Transfer,1053.91,0.00,63939.48
176,2020-01-27,2020-01-27,,Utility Payment,83.94,0.00,63855.54
177,2020-01-27,2020-01-27,,Online Transfer,1570.61,0.00,62284.93
178,2020-01-26,2020-01-27,,Salary Credit,0.00,3644.35,65929.28
179,2020-01-28,2020-01-27,,Salary Credit,0.00,4340.00,70269.28
180,2020-01-27,2020-01-27,,Credit Card Payment,465.13,0.00,69804.15
181,2020-01-27,2020-01-27,,Salary Credit,0.00,3985.67,73789.82
182,2020-01-26,2020-01-27,,Loan EMI,668.38,0.00,73121.44
183,2020-01-27,2020-01-27,,Transfer Received,0.00,2372.18,75493.62
184,2020-01-27,2020-01-27,,Daily Essentials,45.50,0.00,75448.12
185,2020-01-27,2020-01-27,,Daily Essentials,23.94,0.00,75424.18
186,2020-01-27,2020-01-27,,Transfer Received,0.00,2255.66,77679.84
187,2020-01-28,2020-01-28,,Interest Credited,0.00,22.25,77702.09
188,2020-01-27,2020-01-28,,Groceries - Supermarket,165.84,0.00,77536.25
189,2020-01-28,2020-01-28,,Salary Credit,0.00,3782.66,81318.91
190,2020-01-28,2020-01-28,,ATM Withdrawal,56.42,0.00,81262.49
191,2020-01-28,2020-01-28,,Groceries - Supermarket,30.70,0.00,81231.79
192,2020-01-28,2020-01-28,,Transfer Received,0.00,2239.94,83471.73
193,2020-01-28,2020-01-28,,Dining Out,35.43,0.00,83436.30
194,2020-01-28,2020-01-28,,Salary Credit,0.00,2683.13,86119.43
195,2020-01-29,2020-01-28,,Transfer Received,0.00,2619.66,88739.09
196,2020-01-29,2020-01-28,,Transfer Received,0.00,1776.90,90515.99
197,2020-01-29,2020-01-28,,Transfer Received,0.00,2525.52,93041.51
198,2020-01-30,2020-01-29,,Investment - SIP,799.46,0.00,92242.05
199,2020-01-29,2020-01-29,,Transfer Received,0.00,554.80,92796.85
200,2020-01-28,2020-01-29,,Takeout,12.21,0.00,92784.64
201,2020-01-28,2020-01-29,,Cash Deposit,0.00,145.25,92929.89
202,2020-01-29,2020-01-29,,Transfer Received,0.00,1780.77,94710.66
203,2020-01-29,2020-01-29,,Groceries - Supermarket,78.12,0.00,94632.54
204,2020-01-29,2020-01-29,,Online Transfer,1910.62,0.00,92721.92
205,2020-01-30,2020-01-29,,Dividend Received,0.00,391.53,93113.45
206,2020-01-29,2020-01-29,,Salary Credit,0.00,3633.23,96746.68
207,2020-01-29,2020-01-29,,Groceries - Online Delivery,134.34,0.00,96612.34
208,2020-01-29,2020-01-29,,ATM Withdrawal,201.45,0.00,96410.89
209,2020-01-30,2020-01-29,,Takeout,32.94,0.00,96377.95
210,2020-01-29,2020-01-29,,Groceries - Online Delivery,67.25,0.00,96310.70
211,2020-01-31,2020-01-30,,Dining Out,75.88,0.00,96234.82
212,2020-01-30,2020-01-30,,ATM Withdrawal,20.98,0.00,96213.84
213,2020-01-31,2020-01-30,,Rental Income,0.00,1000.13,97213.97
214,2020-01-31,2020-01-30,,Loan EMI,1124.72,0.00,96089.25
215,2020-01-30,2020-01-30,,Online Transfer,1099.97,0.00,94989.28
216,2020-01-30,2020-01-30,,Groceries - Supermarket,118.66,0.00,94870.62
217,2020-01-30,2020-01-30,,Salary Credit,0.00,2802.03,97672.65
218,2020-01-31,2020-01-30,,Transfer Received,0.00,568.93,98241.58
219,2020-01-31,2020-01-31,,Transfer Received,0.00,771.47,99013.05
220,2020-01-31,2020-01-31,100004,Cheque Issued,1062.70,0.00,97950.35
221,2020-01-30,2020-01-31,,Transfer Received,0.00,1699.45,99649.80
222,2020-01-31,2020-01-31,100005,Cheque Issued,1092.73,0.00,98557.07
223,2020-01-31,2020-01-31,,Cash Deposit,0.00,116.97,98674.04
224,2020-02-01,2020-02-01,,Salary Credit,0.00,2173.61,100847.65
225,2020-01-31,2020-02-01,,Transfer Received,0.00,1538.16,102385.81
226,2020-02-03,2020-02-02,,Credit Card Payment,212.17,0.00,102173.64
227,2020-02-02,2020-02-02,,Salary Credit,0.00,3012.28,105185.92
228,2020-02-02,2020-02-02,,Transfer Received,0.00,2068.46,107254.38
229,2020-02-02,2020-02-02,,Transfer Received,0.00,1355.85,108610.23
230,2020-02-02,2020-02-02,,Utility Payment,108.33,0.00,108501.90
231,2020-02-03,2020-02-03,100006,Cheque Issued,2423.06,0.00,106078.84
232,2020-02-03,2020-02-03,,Groceries - Supermarket,185.63,0.00,105893.21
233,2020-02-03,2020-02-03,,Credit Card Payment,764.49,0.00,105128.72
234,2020-02-03,2020-02-03,,Transfer Received,0.00,1678.03,106806.75
235,2020-02-03,2020-02-03,,Dividend Received,0.00,121.97,106928.72
236,2020-02-03,2020-02-03,,ATM Withdrawal,21.15,0.00,106907.57
237,2020-02-03,2020-02-03,,Online Transfer,1155.52,0.00,105752.05
238,2020-02-03,2020-02-03,,Interest Credited,0.00,74.22,105826.27
239,2020-02-03,2020-02-04,,ATM Withdrawal,267.36,0.00,105558.91
240,2020-02-04,2020-02-04,,Transfer Received,0.00,2695.73,108254.64
241,2020-02-04,2020-02-04,,Salary Credit,0.00,3520.04,111774.68
242,2020-02-04,2020-02-04,,Dining Out,11.40,0.00,111763.28
243,2020-02-03,2020-02-04,100007,Cheque Issued,606.21,0.00,111157.07
244,2020-02-05,2020-02-05,,ATM Withdrawal,412.18,0.00,110744.89
245,2020-02-06,2020-02-05,,Dividend Received,0.00,123.65,110868.54
